neurons,neurons2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
11,3,3,0.1,saved_models/model_U11_N23_TS3_L2-0.1.keras,0.8821607232093811,0.009087201207876205,0.8815567493438721,0.01652359776198864,0.72439044713974,0.014981327578425407
18,11,3,0.1,saved_models/model_U18_N211_TS3_L2-0.1.keras,0.9376456141471863,0.004808471538126469,0.8522987365722656,0.02060527540743351,0.720822274684906,0.015175283886492252
19,11,4,0.1,saved_models/model_U19_N211_TS4_L2-0.1.keras,0.9201642274856567,0.006159347947686911,0.8656786680221558,0.018752355128526688,0.7176700830459595,0.015354178845882416
13,2,2,0.9,saved_models/model_U13_N22_TS2_L2-0.9.keras,0.9134513139724731,0.006671191658824682,0.8905177116394043,0.01526237279176712,0.7170400619506836,0.015373311005532742
12,1,3,0.1,saved_models/model_U12_N21_TS3_L2-0.1.keras,0.9282965660095215,0.005529424175620079,0.9036922454833984,0.013435552828013897,0.7116280794143677,0.015675054863095284
12,9,2,0.1,saved_models/model_U12_N29_TS2_L2-0.1.keras,0.9277361035346985,0.0055701155215501785,0.8771795630455017,0.017121775075793266,0.7113670110702515,0.01568153314292431
18,17,4,0.1,saved_models/model_U18_N217_TS4_L2-0.1.keras,0.9383242726325989,0.00475829653441906,0.8568589687347412,0.019983654841780663,0.7103197574615479,0.015753915533423424
16,7,2,0.9,saved_models/model_U16_N27_TS2_L2-0.9.keras,0.9316097497940063,0.005271535366773605,0.8559910655021667,0.02007555589079857,0.7100083231925964,0.01575534977018833
16,10,4,0.1,saved_models/model_U16_N210_TS4_L2-0.1.keras,0.9364575147628784,0.004902315326035023,0.8690710663795471,0.01827874593436718,0.707423210144043,0.015911441296339035
16,11,2,0.1,saved_models/model_U16_N211_TS2_L2-0.1.keras,0.9351409673690796,0.004999345634132624,0.8128421902656555,0.026090718805789948,0.6938235759735107,0.01663467101752758
11,1,2,0.9,saved_models/model_U11_N21_TS2_L2-0.9.keras,0.8981921672821045,0.007847367785871029,0.8626481294631958,0.019147522747516632,0.6813988089561462,0.01730971410870552
