neurons,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
15,4,0.1,saved_models/model_U15_TS4_L2-0.1.keras,0.9171040654182434,0.006395440082997084,0.89778071641922,0.014270643703639507,0.8192497491836548,0.009829889982938766
16,3,0.9,saved_models/model_U16_TS3_L2-0.9.keras,0.9018861055374146,0.007566072512418032,0.8916336297988892,0.015117807313799858,0.797775387763977,0.010992336086928844
16,4,0.9,saved_models/model_U16_TS4_L2-0.9.keras,0.9191670417785645,0.006236277986317873,0.9000450372695923,0.013954522088170052,0.7973946928977966,0.011018451303243637
19,4,0.9,saved_models/model_U19_TS4_L2-0.9.keras,0.9432540535926819,0.004377963487058878,0.8972334861755371,0.01434703916311264,0.7972294092178345,0.011027440428733826
12,4,0.1,saved_models/model_U12_TS4_L2-0.1.keras,0.9268777370452881,0.005641399882733822,0.907720685005188,0.012882940471172333,0.7949352860450745,0.011152203194797039
10,4,0.9,saved_models/model_U10_TS4_L2-0.9.keras,0.9272633790969849,0.005611644126474857,0.9036898612976074,0.013445676304399967,0.7913011908531189,0.01134983915835619
13,4,0.9,saved_models/model_U13_TS4_L2-0.9.keras,0.9276464581489563,0.00558208953589201,0.902504563331604,0.013611159287393093,0.7906938195228577,0.011382868513464928
19,4,0.1,saved_models/model_U19_TS4_L2-0.1.keras,0.9301356077194214,0.005390055477619171,0.9039965867996216,0.013402856886386871,0.790131688117981,0.011413438245654106
20,4,0.9,saved_models/model_U20_TS4_L2-0.9.keras,0.941937267780304,0.004479553084820509,0.9078516364097595,0.012864657677710056,0.788842499256134,0.011483551934361458
19,3,0.1,saved_models/model_U19_TS3_L2-0.1.keras,0.919843316078186,0.006181300617754459,0.9019410014152527,0.013679859228432178,0.7867847681045532,0.011589756235480309
18,4,0.9,saved_models/model_U18_TS4_L2-0.9.keras,0.9218732714653015,0.006027495954185724,0.9083084464073181,0.012800883501768112,0.784072995185852,0.011742936447262764
15,4,0.9,saved_models/model_U15_TS4_L2-0.9.keras,0.9194830656051636,0.0062119010835886,0.8985002040863037,0.01417019683867693,0.7814044952392578,0.011888059787452221
17,3,0.1,saved_models/model_U17_TS3_L2-0.1.keras,0.9136523604393005,0.006658716127276421,0.8886982202529907,0.015527309849858284,0.7790285348892212,0.012011363171041012
17,4,0.9,saved_models/model_U17_TS4_L2-0.9.keras,0.9247009754180908,0.005809337832033634,0.9030143022537231,0.013539989478886127,0.778444230556488,0.012049047276377678
14,4,0.1,saved_models/model_U14_TS4_L2-0.1.keras,0.9205063581466675,0.006132949609309435,0.8973240256309509,0.014334399253129959,0.7783547043800354,0.012053917162120342
13,3,0.1,saved_models/model_U13_TS3_L2-0.1.keras,0.9150993227958679,0.0065471334382891655,0.8907118439674377,0.015246396884322166,0.7781922221183777,0.012056820094585419
15,3,0.1,saved_models/model_U15_TS3_L2-0.1.keras,0.9054133892059326,0.0072940643876791,0.8869225978851318,0.01577502302825451,0.7775684595108032,0.01209072582423687
12,3,0.9,saved_models/model_U12_TS3_L2-0.9.keras,0.9061765074729919,0.007235218770802021,0.8757534027099609,0.017333196476101875,0.7761934995651245,0.012165464460849762
11,4,0.1,saved_models/model_U11_TS4_L2-0.1.keras,0.934330403804779,0.005066422279924154,0.8998581767082214,0.013980611227452755,0.7736529111862183,0.012309620156884193
14,4,0.9,saved_models/model_U14_TS4_L2-0.9.keras,0.9219865798950195,0.006018750369548798,0.9071648716926575,0.012960538268089294,0.772009015083313,0.012399019673466682
20,4,0.1,saved_models/model_U20_TS4_L2-0.1.keras,0.9263931512832642,0.005678786430507898,0.9000265002250671,0.01395711675286293,0.7716994881629944,0.012415853329002857
14,3,0.9,saved_models/model_U14_TS3_L2-0.9.keras,0.9351423978805542,0.005001509096473455,0.9012996554374695,0.013769328594207764,0.7688854932785034,0.012562708929181099
10,4,0.1,saved_models/model_U10_TS4_L2-0.1.keras,0.9261292219161987,0.005699144210666418,0.8940649628639221,0.014789390377700329,0.7680873870849609,0.012612294405698776
12,4,0.9,saved_models/model_U12_TS4_L2-0.9.keras,0.9299230575561523,0.005406451877206564,0.9101077914237976,0.012549687176942825,0.7677111625671387,0.012632752768695354
18,3,0.1,saved_models/model_U18_TS3_L2-0.1.keras,0.9265183806419373,0.005666547920554876,0.8968796730041504,0.014385946094989777,0.7646628618240356,0.012792238965630531
20,3,0.1,saved_models/model_U20_TS3_L2-0.1.keras,0.9285281896591187,0.005511564202606678,0.8755137920379639,0.017366629093885422,0.7634296417236328,0.012859273701906204
18,4,0.1,saved_models/model_U18_TS4_L2-0.1.keras,0.9274763464927673,0.005595216527581215,0.9088516235351562,0.012725056149065495,0.7628162503242493,0.01289895735681057
16,3,0.1,saved_models/model_U16_TS3_L2-0.1.keras,0.9155312776565552,0.006513823755085468,0.8927976489067078,0.014955418184399605,0.7622917890548706,0.012921122834086418
16,4,0.1,saved_models/model_U16_TS4_L2-0.1.keras,0.9302224516868591,0.0053833541460335255,0.8971499800682068,0.014358701184391975,0.7584168314933777,0.01313821505755186
20,3,0.9,saved_models/model_U20_TS3_L2-0.9.keras,0.9241593480110168,0.005848465021699667,0.8875861763954163,0.01568244956433773,0.7579753398895264,0.013155749998986721
17,3,0.9,saved_models/model_U17_TS3_L2-0.9.keras,0.9356341361999512,0.004963587038218975,0.890483558177948,0.015278243459761143,0.7575973868370056,0.013176295906305313
11,4,0.9,saved_models/model_U11_TS4_L2-0.9.keras,0.9436013698577881,0.004351168405264616,0.9090173244476318,0.012701921164989471,0.7547181844711304,0.013339361175894737
13,4,0.1,saved_models/model_U13_TS4_L2-0.1.keras,0.9367460012435913,0.004880057647824287,0.9140320420265198,0.01200182642787695,0.7546288371086121,0.013344221748411655
15,3,0.9,saved_models/model_U15_TS3_L2-0.9.keras,0.9140506386756897,0.006628002505749464,0.8937381505966187,0.014824210666120052,0.751968502998352,0.013482264243066311
10,3,0.1,saved_models/model_U10_TS3_L2-0.1.keras,0.9512302875518799,0.003760887775570154,0.9032784104347229,0.013493283651769161,0.7512317895889282,0.013522312045097351
12,3,0.1,saved_models/model_U12_TS3_L2-0.1.keras,0.9205771088600159,0.006124712992459536,0.8794534206390381,0.016817020252346992,0.7485024929046631,0.013670668937265873
