neurons,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
8,3,0.7,saved_models/model_U8_TS3_L2-0.7.keras,0.9600553512573242,0.003080340102314949,0.8980061411857605,0.01422879472374916,0.8017865419387817,0.010774304158985615
14,4,0.2,saved_models/model_U14_TS4_L2-0.2.keras,0.9358626008033752,0.004948216024786234,0.8962021470069885,0.014491022564470768,0.7997162342071533,0.01089219655841589
6,3,0.7,saved_models/model_U6_TS3_L2-0.7.keras,0.9334729313850403,0.005130247678607702,0.8948104977607727,0.014674612320959568,0.7971838116645813,0.011024492792785168
8,4,0.2,saved_models/model_U8_TS4_L2-0.2.keras,0.9281634092330933,0.0055422065779566765,0.902723491191864,0.01358059048652649,0.7967735528945923,0.011052228510379791
9,4,0.2,saved_models/model_U9_TS4_L2-0.2.keras,0.9584132432937622,0.0032084272243082523,0.9003410339355469,0.013913205824792385,0.7959437370300293,0.011097359471023083
5,4,0.2,saved_models/model_U5_TS4_L2-0.2.keras,0.9008171558380127,0.007651977241039276,0.8768095374107361,0.017198393121361732,0.7912774682044983,0.011351128108799458
14,3,0.2,saved_models/model_U14_TS3_L2-0.2.keras,0.9030742645263672,0.007474447134882212,0.8945430517196655,0.014711925759911537,0.7894135117530823,0.01144686434417963
11,4,0.7,saved_models/model_U11_TS4_L2-0.7.keras,0.9239709377288818,0.005865656305104494,0.9000381231307983,0.013955490663647652,0.7891697287559509,0.011465754359960556
15,3,0.2,saved_models/model_U15_TS3_L2-0.2.keras,0.9206851720809937,0.006116379052400589,0.8997003436088562,0.013992449268698692,0.788846492767334,0.01147768646478653
11,4,0.2,saved_models/model_U11_TS4_L2-0.2.keras,0.9180988073348999,0.006318693049252033,0.9029242992401123,0.013552556745707989,0.7887523174285889,0.011488456279039383
6,4,0.2,saved_models/model_U6_TS4_L2-0.2.keras,0.9382858276367188,0.004761261399835348,0.8865773677825928,0.01583472453057766,0.7864683270454407,0.01161266677081585
8,3,0.2,saved_models/model_U8_TS3_L2-0.2.keras,0.9075080156326294,0.0071325358003377914,0.8890034556388855,0.015484733507037163,0.7862039804458618,0.011621326208114624
5,3,0.7,saved_models/model_U5_TS3_L2-0.7.keras,0.9236463308334351,0.0058880276046693325,0.889650285243988,0.01539449393749237,0.7861875295639038,0.011622220277786255
14,4,0.7,saved_models/model_U14_TS4_L2-0.7.keras,0.9447283148765564,0.004264223389327526,0.8985891938209534,0.014157772064208984,0.7850428223609924,0.011690192855894566
13,4,0.7,saved_models/model_U13_TS4_L2-0.7.keras,0.9187297224998474,0.006270021665841341,0.8969210386276245,0.014390657655894756,0.7774673700332642,0.012102174572646618
15,4,0.7,saved_models/model_U15_TS4_L2-0.7.keras,0.9301560521125793,0.005388477351516485,0.8916855454444885,0.015121578238904476,0.7763725519180298,0.012161714024841785
9,4,0.7,saved_models/model_U9_TS4_L2-0.7.keras,0.917648196220398,0.00635345745831728,0.8994759321212769,0.014033976942300797,0.7750338315963745,0.012234521098434925
7,3,0.2,saved_models/model_U7_TS3_L2-0.2.keras,0.9100023508071899,0.006940185558050871,0.8910332918167114,0.015201554633677006,0.7734246850013733,0.012315969914197922
10,3,0.2,saved_models/model_U10_TS3_L2-0.2.keras,0.9005687832832336,0.00766765745356679,0.8745912313461304,0.017495332285761833,0.7723813652992249,0.012372682802379131
13,4,0.2,saved_models/model_U13_TS4_L2-0.2.keras,0.9626052975654602,0.0028850091621279716,0.9137492775917053,0.012041302397847176,0.7690637707710266,0.012559195049107075
6,3,0.2,saved_models/model_U6_TS3_L2-0.2.keras,0.9376112222671509,0.004811124876141548,0.8783230781555176,0.016974713653326035,0.7689543962478638,0.012558962218463421
