X,Y,Theta,Wd,We,WdRef,WeRef,PwmD,PwmE
0.30000,0.71000,0.01000,2.70000,2.26000,3.22000,3.22000,97.50000,119.75000
0.31000,0.71000,0.02000,2.87000,2.31000,2.98000,3.00000,97.50000,119.75000
0.31000,0.71000,0.02000,2.84000,2.84000,2.23000,2.42000,79.99000,114.10000
0.32000,0.71000,0.01000,2.51000,3.04000,2.20000,2.40000,79.99000,114.10000
0.32000,0.71000,-0.01000,2.31000,3.18000,2.93000,2.95000,92.15000,111.87000
0.33000,0.71000,-0.02000,2.37000,3.07000,3.28000,3.28000,92.15000,111.87000
0.34000,0.71000,-0.03000,2.76000,3.01000,3.12000,3.11000,99.59000,113.34000
0.34000,0.71000,-0.02000,3.09000,2.98000,2.95000,2.94000,99.59000,113.34000
0.35000,0.71000,-0.02000,3.15000,2.82000,3.03000,3.02000,91.84000,113.41000
0.36000,0.71000,-0.02000,2.84000,2.90000,3.19000,3.19000,91.84000,113.41000
0.36000,0.71000,-0.02000,2.51000,2.70000,3.17000,3.16000,97.36000,117.11000
0.37000,0.71000,-0.02000,3.21000,2.90000,3.07000,3.06000,97.36000,117.11000
0.38000,0.71000,-0.02000,3.12000,2.98000,3.21000,3.20000,94.44000,119.26000
0.38000,0.71000,-0.02000,3.09000,3.26000,3.25000,3.24000,94.44000,119.26000
0.39000,0.71000,-0.02000,3.01000,3.26000,3.20000,3.19000,95.94000,115.45000
0.40000,0.71000,-0.03000,3.01000,3.29000,3.07000,3.06000,95.94000,115.45000
0.40000,0.71000,-0.03000,3.09000,3.21000,2.85000,2.83000,92.68000,109.24000
0.41000,0.71000,-0.03000,3.32000,3.23000,2.72000,2.69000,92.68000,109.24000
0.42000,0.71000,-0.02000,3.54000,3.15000,2.80000,2.77000,86.32000,106.46000
0.43000,0.70000,-0.02000,3.01000,2.90000,3.09000,3.08000,86.32000,106.46000
0.43000,0.70000,-0.02000,2.82000,2.73000,3.15000,3.14000,93.03000,114.20000
0.44000,0.70000,-0.02000,2.59000,2.65000,3.18000,3.17000,93.03000,114.20000
0.44000,0.70000,-0.02000,2.40000,2.65000,3.15000,3.15000,100.23000,119.51000
0.45000,0.70000,-0.02000,2.84000,2.42000,3.01000,2.99000,100.23000,119.51000
0.46000,0.70000,-0.02000,2.79000,2.79000,3.21000,3.21000,100.72000,126.76000
0.46000,0.70000,-0.02000,3.15000,3.15000,3.21000,3.21000,100.72000,126.76000
0.47000,0.70000,-0.02000,3.09000,3.35000,3.21000,3.20000,98.28000,120.52000
0.48000,0.70000,-0.02000,3.23000,3.43000,3.10000,3.09000,98.28000,120.52000
0.49000,0.70000,-0.03000,3.23000,3.40000,2.96000,2.94000,93.66000,112.78000
0.49000,0.70000,-0.03000,3.29000,3.37000,2.80000,2.77000,93.66000,112.78000
0.50000,0.70000,-0.03000,3.35000,3.21000,2.68000,2.65000,87.03000,106.29000
