,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd_true,We_true,Wd,We,tempo
0,-0.0297821122913119,1.40000000000057,0.0097113252022489,0.16327082549433,0.0938733952125809,2.04697934346414,2.06715873036953,0.0
1,-0.0260121891105389,1.40000000000052,0.0100588862137654,0.242457778713282,0.175944122809103,2.0585189949612,2.07983642548349,0.07
2,-0.0222409656748038,1.40000000000046,0.0104060132233331,0.321636969443772,0.258010155215227,2.06998235820818,2.09243692788336,0.14
3,-0.018466339555539,1.40000000000041,0.0107519505613286,0.400792431983395,0.340060688114266,2.08130169417705,2.10489090982833,0.21
4,-0.0146853607178763,1.40000000000036,0.0110955459809592,0.479895942838189,0.422075084234285,2.09241917431585,2.11713809830094,0.28
5,-0.0108943753945805,1.4000000000003,0.0114352374815251,0.558904004199265,0.504019746442222,2.10328644952354,2.12912680075477,0.35
6,-0.0070891702065616,1.40000000000025,0.0117690402235377,0.637755020051977,0.585844992297522,2.1138642267576,2.14081343868883,0.42
7,-0.0032651166683021,1.40000000000019,0.012094533595307,0.716367047704378,0.66748193136558,2.12412185511966,2.15216209102168,0.49
8,0.000582683762148,1.40000000000014,0.0124089120252415,0.794637651541224,0.7488393472043,2.13403692291936,2.16314404892872,0.56
9,0.004459253913123,1.40000000000008,0.0127092901873484,0.872451705831214,0.829800586669011,2.14359461281304,2.17373725647785,0.63
10,0.0083695942234975,1.40000000000003,0.0129930086308394,0.94967968284843,0.910220650587497,2.15278599013465,2.18392525704968,0.7
11,0.0123185349705146,1.39999999999997,0.0132576858678008,1.02616611311561,0.989923680824898,2.16160605073543,2.19369609101951,0.77
12,0.0163105872117033,1.39999999999991,0.0135012075754896,1.10172092648061,1.06869932483599,2.17005279905536,2.20304152644612,0.84
13,0.0203497922576967,1.39999999999985,0.0137217800411431,1.1761185709337,1.14629950887484,2.17812678495658,2.21195662322828,0.91
14,0.0244395695050208,1.39999999999979,0.0139181114480408,1.24910224863616,1.22244217030604,2.18583033717518,2.22043924993401,0.98
15,0.0285826259942945,1.39999999999973,0.0140892129218979,1.32039664421188,1.2968387908562,2.19316674744984,2.2284894264575,1.05
16,0.0327810546011652,1.39999999999966,0.0142343275362146,1.3897337283401,1.36921563360181,2.2001411837617,2.23610969944015,1.12
17,0.0370363031635535,1.3999999999996,0.0143529237962188,1.45687964197906,1.43933015548164,2.20676110940654,2.24330521656446,1.19
18,0.0413493320582796,1.39999999999953,0.0144447536302833,1.52165441385665,1.50698444769736,2.21303544547722,2.2500831185116,1.26
19,0.0457207696152991,1.39999999999946,0.0145100384272181,1.58393092705256,1.57202986945804,2.21897336573648,2.2564516930203,1.33
20,0.0501508747764281,1.39999999999939,0.0145492749795749,1.643624701908,1.63436485165531,2.22458367632567,2.26241998948375,1.4
21,0.0546396245674312,1.39999999999932,0.0145631694738945,1.70068301165353,1.69392873448065,2.22987497051914,2.26799770321569,1.47
22,0.0591866722989738,1.39999999999925,0.0145525724723548,1.75507905071093,1.75069335789642,2.23485630411376,2.27319551959713,1.54
23,0.0637914305716523,1.39999999999917,0.0145182878222795,1.80680264623403,1.80465120047283,2.2395375018625,2.27802528254672,1.61
24,0.0684530250237287,1.3999999999991,0.0144612636104486,1.85585691470914,1.85580470459081,2.24392922164186,2.28249985986942,1.68
25,0.0731703729182959,1.39999999999902,0.0143826569822231,1.90225711643249,1.90416167929286,2.248042458386,2.28663283207017,1.75
26,0.077942132528652,1.39999999999894,0.0142838363074506,1.94602567349318,1.9497359549757,2.25188780497687,2.29043787710684,1.82
27,0.0827667774375287,1.39999999999886,0.0141663841675582,1.9871928149712,1.99254922443837,2.25547510486136,2.29392867630972,1.89
28,0.0876425417267594,1.39999999999877,0.0140321011116679,2.02579287608454,2.03263146548804,2.25881317840134,2.2971186422431,1.96
29,0.0925674901899957,1.39999999999869,0.01388301012139,2.06186825515662,2.0700212781621,2.26191013073122,2.30002097613737,2.03
30,0.0975394595612409,1.3999999999986,0.0137213617156494,2.09547048299642,2.10476791394127,2.26477341504437,2.30264860975054,2.1
31,0.102556188425923,1.39999999999852,0.0135495760998975,2.12665764084677,2.13693067621053,2.26741003211007,2.30501415819346,2.17
