neurons,neuros2,time_steps,l2_factor,model_file,R2_Train,MSE_Train,R2_Validation,MSE_Validation,R2_Test,MSE_Test
10,9,4,0.1,saved_models_2R/model_U10_U29_TS4_L2-0.1.keras,0.931795060634613,0.005262026097625494,0.9015486836433411,0.013744602911174297,0.8188165426254272,0.009853447787463665
12,2,4,0.1,saved_models_2R/model_U12_U22_TS4_L2-0.1.keras,0.9302591681480408,0.005380522459745407,0.8852225542068481,0.01602386310696602,0.8025100231170654,0.010740258730947971
10,7,3,0.9,saved_models_2R/model_U10_U27_TS3_L2-0.9.keras,0.9050779938697815,0.007319930475205183,0.8884609341621399,0.015560412779450417,0.7854248881340027,0.011663675308227539
13,6,3,0.9,saved_models_2R/model_U13_U26_TS3_L2-0.9.keras,0.9158096313476562,0.006492357235401869,0.8874590396881104,0.015700189396739006,0.784587025642395,0.01170921977609396
14,3,4,0.9,saved_models_2R/model_U14_U23_TS4_L2-0.9.keras,0.9559714198112488,0.0033968151547014713,0.9035788774490356,0.013461174443364143,0.7830187082290649,0.011800270527601242
11,5,4,0.1,saved_models_2R/model_U11_U25_TS4_L2-0.1.keras,0.9211286306381226,0.0060849436558783054,0.8911669850349426,0.015193973667919636,0.7828014492988586,0.011812087148427963
14,3,3,0.1,saved_models_2R/model_U14_U23_TS3_L2-0.1.keras,0.9262503981590271,0.005687213968485594,0.8828461170196533,0.01634371466934681,0.7813347578048706,0.011886002495884895
12,2,4,0.9,saved_models_2R/model_U12_U22_TS4_L2-0.9.keras,0.9566238522529602,0.0033464787993580103,0.85491544008255,0.020254982635378838,0.7804504036903381,0.011939945630729198
14,3,4,0.1,saved_models_2R/model_U14_U23_TS4_L2-0.1.keras,0.9081215858459473,0.0070884390734136105,0.8869110941886902,0.015788130462169647,0.7801014184951782,0.011958924122154713
13,7,4,0.1,saved_models_2R/model_U13_U27_TS4_L2-0.1.keras,0.9363304376602173,0.0049121202901005745,0.9087021350860596,0.012745923362672329,0.7792072296142578,0.012007554993033409
16,12,4,0.9,saved_models_2R/model_U16_U212_TS4_L2-0.9.keras,0.9174988269805908,0.006364982575178146,0.8894919157028198,0.015427828766405582,0.7783911824226379,0.012051934376358986
15,3,4,0.9,saved_models_2R/model_U15_U23_TS4_L2-0.9.keras,0.9388809204101562,0.004715350456535816,0.9116160869598389,0.012339113280177116,0.7773223519325256,0.012110061012208462
13,7,4,0.1,saved_models_2R/model_U13_U27_TS4_L2-0.1.keras,0.9215495586395264,0.006052469369024038,0.8859072327613831,0.015928275883197784,0.7763858437538147,0.012160992249846458
16,12,3,0.9,saved_models_2R/model_U16_U212_TS3_L2-0.9.keras,0.9319361448287964,0.005248755216598511,0.8978739380836487,0.014247242361307144,0.7743241190910339,0.012267081066966057
13,7,3,0.9,saved_models_2R/model_U13_U27_TS3_L2-0.9.keras,0.9376506209373474,0.004808083176612854,0.8841528296470642,0.016161426901817322,0.7735190391540527,0.012310841120779514
14,12,3,0.9,saved_models_2R/model_U14_U212_TS3_L2-0.9.keras,0.9094513058662415,0.006982678547501564,0.8839740753173828,0.016186362132430077,0.7730450630187988,0.012336604297161102
10,6,3,0.9,saved_models_2R/model_U10_U26_TS3_L2-0.9.keras,0.9349800944328308,0.005014022812247276,0.9028972387313843,0.01354646310210228,0.7724792957305908,0.012367360293865204
12,3,4,0.1,saved_models_2R/model_U12_U23_TS4_L2-0.1.keras,0.963887095451355,0.002786120865494013,0.8698341846466064,0.018172210082411766,0.771520733833313,0.012425575405359268
11,1,3,0.9,saved_models_2R/model_U11_U21_TS3_L2-0.9.keras,0.9397216439247131,0.004648376256227493,0.8963638544082642,0.01445791032165289,0.7712623476982117,0.012433508411049843
10,7,3,0.1,saved_models_2R/model_U10_U27_TS3_L2-0.1.keras,0.918901801109314,0.0062539041973650455,0.8957533836364746,0.014543074183166027,0.7703936696052551,0.012480727396905422
14,11,3,0.1,saved_models_2R/model_U14_U211_TS3_L2-0.1.keras,0.914182186126709,0.006617859471589327,0.892429530620575,0.015006767585873604,0.7699881792068481,0.012502768076956272
13,6,3,0.1,saved_models_2R/model_U13_U26_TS3_L2-0.1.keras,0.9681020379066467,0.0024598189629614353,0.8711261749267578,0.01797872968018055,0.7689365148544312,0.01255993451923132
11,8,3,0.9,saved_models_2R/model_U11_U28_TS3_L2-0.9.keras,0.9274218082427979,0.0055968803353607655,0.8854309916496277,0.015983114019036293,0.768927812576294,0.012560408562421799
